Date,Customer,Invoice_To,Invoice_No,Market,Drop_Off_Point,Currency,Quantity_Sold,No_Boxes,Unit_Price,Total_Sales,Exchange_Rate_to_KES,Total_Sales_KES
06/02/2026,MUZNA,MUZNA FLOWERS,16023,Export,ORAKO/DRIPLETS,USD,5350,14,0.402336449,2152.5,130,279825
06/02/2026,FLOWER HUB,FLOWER HUB,16024,Export,KN2,USD,2520,7,0.18,453.6,130,58968
06/02/2026,FLOWER AXIS,FLOWER AXIS,16025,Export,DB SCHENKA,USD,1100,3,0.41,451,130,58630
06/02/2026,TGW,DFG,16026,Export,AIRFLO,EUR,3200,16,0.53,1696,140,237440
06/02/2026,BLACK TULIP,BLACK TULIP,16028,Export,GARDEN FREIGHT,USD,1000,3,0.502,502,130,65260
06/02/2026,ASAROOJ,MUZNA FLOWERS,16029,Export,MITCHEL COTTS,USD,2000,5,0.42,840,130,109200
06/02/2026,FLOWER HUB,FLOWER HUB,16030,Export,KN2,USD,5400,16,0.431851852,2332,130,303160
06/02/2026,FLOWER HUB,FLOWER HUB,16031,Export,KN2,USD,900,3,0.2,180,130,23400
06/02/2026,FLORA EXPORT,OCTOFLOR,16032,Export,AIRFLO,EUR,600,2,0.28,168,140,23520
06/02/2026,FLOWER HUB,FLOWER HUB,16034,Export,KN2,USD,6400,10,0.27,1728,130,224640
07/02/2026,MUZNA,MUZNA FLOWERS,16035,Export,ORAKO/DRIPLETS,USD,2200,6,0.180909091,398,130,51740
07/02/2026,FLOWER HUB,FLOWER HUB,16036,Export,KN2,USD,1260,3,0.43,541.8,130,70434
07/02/2026,GFT LLC CO,GULF FLOWERS,16037,Export,FREIGHTWINGS,USD,5000,10,0.25,1250,130,162500
07/02/2026,FLOWER HUB,FLOWER HUB,16038,Export,KN2,USD,5760,9,0.27,1555.2,130,202176
07/02/2026,TGW,DFG,16039,Export,AIRFLO,EUR,5200,26,0.53,2756,140,385840
07/02/2026,BLOOM HOUSE,WAFEX,16040,Export,,USD,2800,7,0.43,1204,130,156520
07/02/2026,ASAROOJ,MUZNA FLOWERS,16041,Export,MITCHEL COTTS,USD,1400,4,0.471428571,660,130,85800
